Unit: $/MW,Distributed Solar Soft Costs
2019.0,1936863.5824986598
2020.0,1831601.6350899425
2021.0,1726339.6876812256
2022.0,1621077.7402725082
2023.0,1515815.792863791
2024.0,1410553.8454550738
2025.0,1305291.8980463569
2026.0,1200029.9506376397
2027.0,1094768.0032289228
2028.0,989506.0558202057
2029.0,884244.1084114887
2030.0,778982.1610027725
2031.0,769736.5433252538
2032.0,760490.9256477347
2033.0,751245.3079702158
2034.0,741999.6902926968
2035.0,732754.0726151777
2036.0,723508.4549376589
2037.0,714262.8372601401
2038.0,705017.2195826211
2039.0,695771.601905102
2040.0,686525.9842275832
2041.0,677280.3665500642
2042.0,668034.7488725453
2043.0,658789.1311950263
2044.0,649543.5135175074
2045.0,640297.8958399884
2046.0,631052.2781624695
2047.0,621806.6604849505
2048.0,612561.0428074315
2049.0,603315.4251299127
2050.0,594069.8074523933
