Unit: $/MW,Distributed Solar Total Cap Cost
2019.0,3255232.9117624536
2020.0,3078322.075781416
2021.0,2901411.239800379
2022.0,2724500.4038193417
2023.0,2547589.5678383047
2024.0,2370678.7318572667
2025.0,2193767.89587623
2026.0,2016857.059895193
2027.0,1839946.223914156
2028.0,1663035.387933119
2029.0,1486124.551952082
2030.0,1309213.7159710464
2031.0,1293674.862731519
2032.0,1278136.009491991
2033.0,1262597.1562524636
2034.0,1247058.303012936
2035.0,1231519.449773408
2036.0,1215980.5965338806
2037.0,1200441.7432943531
2038.0,1184902.8900548255
2039.0,1169364.0368152976
2040.0,1153825.1835757701
2041.0,1138286.3303362424
2042.0,1122747.4770967148
2043.0,1107208.623857187
2044.0,1091669.7706176594
2045.0,1076130.9173781318
2046.0,1060592.0641386043
2047.0,1045053.2108990765
2048.0,1029514.3576595489
2049.0,1013975.5044200213
2050.0,998436.6511804931
