Year,Battery Cost ($/MW),,,,,
2020.0,813519.8955606394,,,,,
2021.0,670249.8955606394,,,,,
2022.0,575519.8955606394,,,,,
2023.0,505619.89556063944,,,,,
2024.0,450056.89556063944,,,,,
2025.0,405016.89556063944,,,,,
2026.0,365985.89556063944,,,,,
2027.0,332129.89556063944,,,,,
2028.0,302999.89556063944,,,,,
2029.0,277998.89556063944,,,,,
2030.0,256485.89556063944,,,,,
2031.0,237801.89556063944,,,,,
2032.0,221749.89556063944,,,,,
2033.0,208002.89556063944,,,,,
2034.0,196105.89556063944,,,,,
2035.0,185660.89556063944,,,,,
2036.0,176492.89556063944,,,,,
2037.0,168432.89556063944,,,,,
2038.0,161272.89556063944,,,,,
2039.0,154834.89556063944,,,,,
2040.0,148994.89556063944,,,,,
2041.0,143757.89556063944,,,,,
2042.0,139018.89556063944,,,,,
2043.0,134714.89556063944,,,,,
2044.0,130781.89556063944,,,,,
2045.0,127169.89556063944,,,,,
2046.0,123846.89556063944,,,,,
2047.0,120770.89556063944,,,,,
2048.0,117909.89556063944,,,,,
2049.0,115242.89556063944,,,,,
2050.0,112744.89556063944,,,,,
