Year,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Cement and other carbonate use (BTU),2.96122E+13,2.92766E+13,2.8941E+13,2.86054E+13,2.82698E+13,2.79342E+13,2.75986E+13,2.7263E+13,2.69274E+13,2.65918E+13,2.62562E+13,2.59206E+13,2.55849E+13,2.52493E+13,2.49137E+13,2.45781E+13,2.42996E+13,2.4021E+13,2.37425E+13,2.34639E+13,2.31854E+13,2.29068E+13,2.26283E+13,2.23497E+13,2.20712E+13,2.17926E+13,2.15141E+13,2.12355E+13,2.0957E+13,2.06784E+13,2.03998E+13,2.03998E+13,2.03998E+13,2.03998E+13,2.03998E+13,2.03998E+13
Natural gas and petroleum systems (BTU),5.56E+13,5.47E+13,5.38E+13,5.30E+13,5.21E+13,5.12E+13,5.04E+13,4.95E+13,4.87E+13,4.78E+13,4.69E+13,4.61E+13,4.52E+13,4.43E+13,4.35E+13,4.26E+13,4.18E+13,4.09E+13,4.00E+13,3.92E+13,3.83E+13,3.74E+13,3.66E+13,3.57E+13,3.49E+13,3.40E+13,3.31E+13,3.23E+13,3.14E+13,3.05E+13,2.97E+13,2.88E+13,2.80E+13,2.71E+13,2.62E+13,2.54E+13
Iron and steel (BTU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chemicals (BTU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mining (BTU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Waste management (BTU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agriculture (BTU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other industries (BTU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Natural gas and petroleum systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petroleum refining unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coke--MMBTU,5.56E+07,5.47E+07,5.38E+07,5.30E+07,5.21E+07,5.12E+07,5.04E+07,4.95E+07,4.87E+07,4.78E+07,4.69E+07,4.61E+07,4.52E+07,4.43E+07,4.35E+07,4.26E+07,4.18E+07,4.09E+07,4.00E+07,3.92E+07,3.83E+07,3.74E+07,3.66E+07,3.57E+07,3.49E+07,3.40E+07,3.31E+07,3.23E+07,3.14E+07,3.05E+07,2.97E+07,2.88E+07,2.80E+07,2.71E+07,2.62E+07,2.54E+07
